代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,换手率,市盈率-动态,量比,最高,最低,今开,昨收,总市值,流通市值,市净率_x,60日涨跌幅,年初至今涨跌幅,市盈率TTM,现价,半年线,半年线乖离率,价格达标,价格数据日期,市盈率,市净率_y,市盈率10年分位,市净率10年分位,估值分位达标,估值数据日期,总市值_估值源,价格估值错误,股息率,股息率达标,股息数据日期,股息错误,所属行业,行业错误
603230,内蒙新华,10.87,0.28,0.03,21758.0,23651141.0,0.83,0.62,15.45,0.68,10.9,10.81,10.84,10.84,3842795010.0,3842795010.0,1.36,-15.93,-11.98,46.61,10.87,12.265999999999998,-11.381053318115109,True,2026-05-08,46.61,1.36,100.0,0.8530805687203791,True,2026-05-08,3842795010.0,,4.415823367065317,True,2025-06-19,,出版,
603277,银都股份,13.33,1.14,0.15,20890.0,27575877.0,2.12,0.34,49.41,1.08,13.35,13.07,13.2,13.18,8180611736.0,8127914513.0,2.87,-17.15,-20.8,24.91,13.33,15.936,-16.352911646586342,True,2026-05-08,24.91,2.87,90.25717111770524,33.7784371909001,False,2026-05-08,8180611736.0,,6.3765941485371345,True,2025-10-20,,通用设备,
603369,今世缘,27.55,-0.07,-0.02,98550.0,272466167.0,2.43,0.79,6.2,0.7,28.08,27.41,27.62,27.57,34349341019.0,34349341019.0,1.91,-22.26,-20.79,14.65,27.55,32.379999999999995,-14.916615194564532,True,2026-05-08,14.65,1.91,6.627101879327399,1.0880316518298714,True,2026-05-08,34349341019.0,,4.3557168784029034,True,2025-06-06,,白酒Ⅱ,
603456,九洲药业,13.64,0.29,0.04,150967.0,205697512.0,0.96,1.7,17.63,0.6,13.71,13.58,13.65,13.6,12132043822.0,12132043822.0,1.36,-25.99,-23.8,18.61,13.64,17.783749999999998,-23.300766148871855,True,2026-05-08,18.61,1.36,13.501483679525222,1.533135509396637,True,2026-05-08,12132043822.0,,3.6656891495601167,True,2025-09-08,,医疗服务,
603529,爱玛科技,23.19,-0.3,-0.07,82616.0,191274576.0,0.95,0.97,25.66,0.65,23.29,23.07,23.29,23.26,20126438253.0,19654927021.0,2.04,-22.96,-21.92,12.38,23.19,29.63633333333333,-21.75145373359276,True,2026-05-08,12.38,2.04,21.585160202360875,0.16863406408094433,True,2026-05-08,20126438253.0,,5.260888313928417,True,2025-09-11,,摩托车及其他,
603566,普莱柯,11.67,-0.17,-0.02,51629.0,60028944.0,1.63,1.49,24.79,0.93,11.75,11.56,11.73,11.69,4038546726.0,4038546726.0,1.53,-15.37,-6.11,23.37,11.67,13.198583333333334,-11.581419723076348,True,2026-05-08,23.37,1.53,4.648862512363996,0.741839762611276,True,2026-05-08,4038546726.0,,5.141388174807198,True,2025-10-17,,动物保健Ⅱ,
603569,长久物流,6.66,1.22,0.08,44811.0,29804176.0,1.22,0.74,1057.47,0.77,6.68,6.6,6.62,6.58,4019358292.0,4019358292.0,1.52,-9.39,-12.94,-44.46,6.66,7.464583333333334,-10.778677086240585,True,2026-05-08,-44.46,1.52,,7.072205736894165,True,2026-05-08,4019358292.0,,5.405405405405405,True,2025-10-22,,物流,
603589,口子窖,23.44,-0.42,-0.1,37209.0,87608267.0,1.23,0.62,10.66,0.89,23.73,23.44,23.54,23.54,14019920424.0,14019920424.0,1.31,-25.21,-22.0,35.81,23.44,28.393500000000003,-17.445894306795573,True,2026-05-08,35.81,1.31,99.55489614243324,0.09891196834817012,True,2026-05-08,14019920424.0,,5.546075085324232,True,2025-07-07,,白酒Ⅱ,
603833,欧派家居,46.5,-0.9,-0.42,20336.0,94627408.0,2.3,0.33,45.75,0.55,47.32,46.24,47.32,46.92,28325608316.0,28325608316.0,1.53,-25.41,-8.57,15.36,46.5,53.940749999999994,-13.794302081450471,True,2026-05-08,15.36,1.53,26.95351137487636,0.5934718100890208,True,2026-05-08,28325608316.0,,8.0,True,2026-01-09,,家居用品,
603919,金徽酒,17.65,0.63,0.11,34448.0,60914330.0,1.48,0.68,10.94,0.75,17.83,17.57,17.65,17.54,8953138947.0,8953138947.0,2.53,-17.29,-12.71,27.54,17.65,19.881416666666663,-11.223630106841808,True,2026-05-08,27.54,2.53,45.20276953511375,10.682492581602373,True,2026-05-08,8953138947.0,,3.9660056657223794,True,2026-02-10,,白酒Ⅱ,
605338,巴比食品,22.92,-0.13,-0.03,15942.0,36560513.0,1.48,0.67,29.08,0.71,23.12,22.78,22.92,22.95,5490867893.0,5490867893.0,2.3,-24.46,-26.82,19.4,22.92,27.890916666666666,-17.8227081098685,True,2026-05-08,19.4,2.3,26.498889711324946,28.497409326424872,True,2026-05-08,5490867893.0,,3.4904013961605584,True,2025-05-14,,食品加工,
688606,奥泰生物,54.44,-1.34,-0.74,8276.0,45044849.0,1.3,1.04,55.64,1.41,54.92,54.2,54.2,55.18,4316049746.0,4316049746.0,1.11,-20.87,-14.79,24.2,54.44,64.74275000000002,-15.913364816910025,True,2026-05-08,24.2,1.11,90.47195013357079,10.008071025020177,True,2026-05-08,4316049746.0,,4.592211609110948,True,2025-10-16,,医疗器械,
689009,九号公司-WD,42.68,-0.21,-0.09,112365.0,483102680.0,2.43,2.02,37.92,0.72,43.58,42.54,42.95,42.77,30843002937.0,23715469441.0,4.17,-21.62,-23.22,20.49,42.68,52.08141666666666,-18.051384290941897,True,2026-05-08,20.49,4.17,4.932378679395385,5.23168908819133,True,2026-05-08,30843002937.0,,3.6357310215557637,True,2025-10-31,,摩托车及其他,
