代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,换手率,市盈率-动态,量比,最高,最低,今开,昨收,总市值,流通市值,市净率_x,60日涨跌幅,年初至今涨跌幅,市盈率TTM,现价,半年线,半年线乖离率,价格达标,价格数据日期,市盈率,市净率_y,市盈率10年分位,市净率10年分位,估值分位达标,估值数据日期,总市值_估值源,价格错误,估值错误,价格估值错误,数据状态,市净率,股息率,股息率达标,股息数据日期,股息错误,所属行业,行业错误,买入,卖出
600422,昆药集团,8.2,-2.148,-0.18,5366934.0,44203908.0,,,,,8.39,8.18,8.39,8.38,6207201207.703701,,,,,,8.2,11.169416666666669,-26.5852439324644,True,2026-06-17,52.74899470899473,,98.38945827232796,0.0488042947779404,True,2026-06-17,6207201207.703701,,,,沿用上一版：当前数据待补齐,1.1887830687830678,3.6585365853658542,True,2025-07-30,,未知,所属行业批量超时,8.19,8.2
600475,XD华光环,15.48,-2.764,-0.44,8763810.0,136616097.0,,,,,15.96,15.41,15.96,15.92,14798349484.911242,,,,,,15.48,18.87725,-17.996530214941263,True,2026-06-17,39.50068965517242,,99.13617886178862,90.14222658165768,False,2026-06-17,14798349484.911242,,,,沿用上一版：当前数据待补齐,1.7063877897117017,4.521963824289405,True,2026-06-17,,未知,所属行业批量超时,15.47,15.48
600496,精工钢构,3.45,-0.862,-0.03,24917420.0,85520538.0,,,,,3.5,3.4,3.49,3.48,6865931846.579574,,,,,,3.45,4.217083333333333,-18.18990218357869,True,2026-06-17,10.85807600950119,,14.997533300444005,17.809570794277256,True,2026-06-17,6865931846.579574,,,,沿用上一版：当前数据待补齐,0.7375296912114016,8.695652173913043,True,2026-06-15,,未知,所属行业批量超时,3.44,3.45
600507,方大特钢,4.11,-1.675,-0.07,22642073.0,93316117.0,,,,,4.2,4.09,4.18,4.18,9507202227.971989,,,,,,4.11,5.789,-29.003282086716176,True,2026-06-17,11.883730297723291,,61.328125,0.830078125,True,2026-06-17,9507202227.971989,,,,沿用上一版：当前数据待补齐,0.928528896672504,4.8661800486618,True,2026-05-29,,未知,所属行业批量超时,4.11,4.12
600519,贵州茅台,1240.0,-1.248,-15.67,4480330.0,5581256291.0,,,,,1259.77,1238.56,1258.0,1255.67,1552815066600.1345,,,,,,1240.0,1394.50475,-11.07954275523264,True,2026-06-17,18.776247459923223,,0.2942618930848455,0.0490436488474742,True,2026-06-17,1552815066600.1345,,,,沿用上一版：当前数据待补齐,5.734928877850532,4.163709677419355,True,2025-12-19,,未知,所属行业批量超时,1240.0,1240.02
600559,老白干酒,12.1,-1.224,-0.15,7761984.0,93768279.0,,,,,12.35,11.97,12.3,12.25,11068444072.044115,,,,,,12.1,14.49575,-16.527257989410682,True,2026-06-17,24.99183823529409,,24.89019033674964,0.1952171791117618,True,2026-06-17,11068444072.044115,,,,沿用上一版：当前数据待补齐,2.019632352941178,4.545454545454546,True,2025-06-20,,未知,所属行业批量超时,12.1,12.11
600585,海螺水泥,18.24,0.055,0.01,32215433.0,587462619.0,,,,,18.44,18.08,18.23,18.23,96659279040.82124,,,,,,18.24,22.48133333333333,-18.86602218136529,True,2026-06-17,12.440304182509491,,72.67839687194527,0.0977517106549364,True,2026-06-17,96659279040.82124,,,,沿用上一版：当前数据待补齐,0.5028136882129279,5.208333333333334,True,2025-09-30,,未知,所属行业批量超时,18.23,18.24
600587,新华医疗,12.19,-2.01,-0.25,6289466.0,76916694.0,,,,,12.44,12.16,12.44,12.44,7394997052.514202,,,,,,12.19,14.584666666666667,-16.4190702564337,True,2026-06-17,15.093226511289137,,25.24123920771966,0.0488758553274682,True,2026-06-17,7394997052.514202,,,,沿用上一版：当前数据待补齐,0.9411070648215586,4.101722723543888,True,2025-10-24,,未知,所属行业批量超时,12.18,12.19
600612,老凤祥,34.87,-1.218,-0.43,899532.0,31388323.0,,,,,35.3,34.75,35.3,35.3,18241116430.680004,,,,,,34.87,41.76575,-16.510537940776835,True,2026-06-17,10.803036942675158,,0.3416300634455832,0.1952171791117618,True,2026-06-17,18241116430.680004,,,,沿用上一版：当前数据待补齐,1.3326114649681535,5.878979065098939,True,2025-09-26,,未知,所属行业批量超时,34.87,34.95
600662,外服控股,4.24,-0.235,-0.01,8635239.0,36405239.0,,,,,4.25,4.19,4.24,4.25,9681859270.209902,,,,,,4.24,5.221,-18.78950392645087,True,2026-06-17,14.28166336633664,,13.28334226031066,25.65982404692082,True,2026-06-17,9681859270.209902,,,,沿用上一版：当前数据待补齐,1.7883564356435626,5.660377358490566,True,2025-08-15,,未知,所属行业批量超时,4.24,4.25
600663,陆家嘴,6.79,1.042,0.07,9077179.0,61178049.0,,,,,6.86,6.6,6.72,6.72,34188693480.178627,,,,,,6.79,7.850583333333333,-13.509611812285703,True,2026-06-17,43.037908343125736,,82.72148800783162,0.2936857562408223,True,2026-06-17,34188693480.178627,,,,沿用上一版：当前数据待补齐,1.356404230317274,3.096612665684831,True,2026-06-16,,未知,所属行业批量超时,6.79,6.8
600681,百川能源,3.41,-1.445,-0.05,12078840.0,41180752.0,,,,,3.46,3.39,3.45,3.46,4572314902.510843,,,,,,3.41,4.142833333333333,-17.689182121736323,True,2026-06-17,18.6605060240964,,95.2007835455436,6.072477962781587,True,2026-06-17,4572314902.510843,,,,沿用上一版：当前数据待补齐,1.2407469879518085,4.39882697947214,True,2026-06-04,,未知,所属行业批量超时,3.41,3.42
600690,海尔智家,20.49,-1.11,-0.23,34350972.0,706164509.0,,,,,20.8,20.42,20.7,20.72,192147631528.9792,,,,,,20.49,23.50775,-12.837255798619609,True,2026-06-17,10.268948106591868,,1.5129331381161544,0.5856515373352855,True,2026-06-17,192147631528.9792,,,,沿用上一版：当前数据待补齐,1.532678821879382,6.023621278672524,True,2025-11-07,,未知,所属行业批量超时,20.49,20.5
600720,中交设计,5.43,-0.731,-0.04,13384503.0,72172301.0,,,,,5.49,5.32,5.47,5.47,12459653918.316343,,,,,,5.43,6.902166666666667,-21.32905126409582,True,2026-06-17,8.694512743628186,,28.59237536656892,0.0488758553274682,True,2026-06-17,12459653918.316343,,,,沿用上一版：当前数据待补齐,0.7815292353823085,4.21731123388582,True,2025-08-18,,未知,所属行业批量超时,5.42,5.43
600729,重百集团,19.97,-3.34,-0.69,3397869.0,68799896.0,,,,,20.78,19.91,20.66,20.66,8795847947.811821,,,,,,19.97,22.98208333333333,-13.10622405134434,True,2026-06-17,10.355161895823557,,39.23865300146413,0.7808687164470474,True,2026-06-17,8795847947.811821,,,,沿用上一版：当前数据待补齐,1.0776865321445337,7.616725087631448,True,2026-01-16,,未知,所属行业批量超时,19.96,19.97
