代码,名称,最新价,买入,卖出,昨收,今开,最高,最低,成交量,成交额,涨跌幅,涨跌额,现价,半年线,半年线乖离率,价格达标,价格数据日期,市盈率,市净率,市盈率10年分位,市净率10年分位,估值分位达标,估值数据日期,总市值_估值源,价格错误,估值错误,价格估值错误,数据状态,总市值,股息率,股息率达标,股息数据日期,股息错误,所属行业,行业错误,振幅,换手率,市盈率-动态,量比,流通市值,市净率_x,60日涨跌幅,年初至今涨跌幅,市盈率TTM,市净率_y
000932,华菱钢铁,3.58,3.58,3.59,3.55,3.55,3.62,3.52,122450446.0,437762751.0,0.845,0.03,3.58,5.073166666666666,-29.432635763329927,True,2026-07-02,10.921521126760563,0.4437183098591549,81.6990291262136,0.2912621359223301,True,2026-07-02,24532340792.800003,,,,沿用上一版：当前数据待补齐,24532340792.800003,4.46927374301676,True,2026-06-26,,板材,,,,,,,,,,,
000933,神火股份,21.17,21.15,21.17,21.11,21.38,21.6,20.93,66127231.0,1406623817.0,0.284,0.06,21.17,30.022166666666667,-29.485435761354108,True,2026-07-02,8.524159166271911,1.8953718616769304,48.78453038674033,41.05830475257227,False,2026-07-02,47611423126.94032,,,,沿用上一版：当前数据待补齐,47611423126.94032,3.778932451582428,True,2026-05-29,,铝,,,,,,,,,,,
000963,华东医药,29.49,29.49,29.5,29.57,29.51,30.26,29.35,28518244.0,848011378.0,-0.271,-0.08,29.49,33.81525,-12.79082662408233,True,2026-07-02,14.769932363882312,2.094318566114305,7.475728155339806,1.6019417475728157,True,2026-07-02,51717699647.160965,,,,沿用上一版：当前数据待补齐,51717699647.160965,3.1536113936927777,True,2026-06-10,,化学制剂,,,,,,,,,,,
000999,华润三九,23.9,23.89,23.9,23.23,23.03,24.05,23.03,15837906.0,374867790.0,2.884,0.67,23.9,27.00633333333333,-11.502240215258151,True,2026-07-02,12.32552733534223,1.7901851054670683,1.6998542982030111,8.693540553666828,True,2026-07-02,39774806805.85019,,,,沿用上一版：当前数据待补齐,39774806805.85019,4.351464435146444,True,2026-05-29,,中药,,,,,,,,,,,
001206,依依股份,18.73,18.73,18.74,19.14,18.72,19.42,18.6,5507880.0,103917587.0,-2.142,-0.41,18.73,21.52225,-12.973782945556344,True,2026-07-02,22.115882967607103,1.918014629049112,44.167337087691074,53.66049879324215,False,2026-07-02,3463061023.7225704,,,,沿用上一版：当前数据待补齐,3463061023.7225704,4.05766150560598,True,2026-05-18,,生活用纸,,,,,,,,,,,
001207,联科科技,15.42,15.41,15.42,15.21,15.2,15.79,15.06,4572501.0,71159631.0,1.381,0.21,15.42,18.9935,-18.81433121857477,True,2026-07-02,17.011676528599608,1.9262327416173568,31.60919540229885,20.114942528735632,True,2026-07-02,4674384012.236686,,,,沿用上一版：当前数据待补齐,4674384012.236686,5.188067444876784,True,2026-04-08,,炭黑,,,,,,,,,,,
001323,慕思股份,16.55,16.55,16.58,16.36,16.36,16.73,16.28,2632230.0,43361159.0,1.161,0.19,16.55,23.878,-30.689337465449352,True,2026-07-02,14.233404645476774,1.729859413202934,7.818930041152264,1.2345679012345678,True,2026-07-02,7200586644.159536,,,,沿用上一版：当前数据待补齐,7200586644.159536,8.76132930513595,True,2026-06-08,,成品家居,,,,,,,,,,,
001328,登康口腔,26.99,26.99,27.05,26.86,26.73,27.65,26.73,1185075.0,32209202.0,0.484,0.13,26.99,34.15366666666667,-20.97480992767981,True,2026-07-02,24.497997021593445,3.255681310498883,1.1508951406649617,24.55242966751918,True,2026-07-02,4646970862.0,,,,沿用上一版：当前数据待补齐,4646970862.0,3.1493145609485,True,2026-06-05,,洗护用品,,,,,,,,,,,
001368,通达创智,20.92,20.92,20.93,20.67,20.61,21.26,20.42,1950500.0,41007571.0,1.209,0.25,20.92,26.271833333333333,-20.370993015333276,True,2026-07-02,23.26805999032414,1.7003193033381712,38.01020408163265,25.51020408163265,True,2026-07-02,2381468867.9941945,,,,沿用上一版：当前数据待补齐,2381468867.9941945,3.585086042065009,True,2026-05-13,,娱乐用品,,,,,,,,,,,
001386,马可波罗,14.31,14.3,14.31,14.47,14.48,14.73,14.27,4094770.0,59255470.0,-1.106,-0.16,14.31,20.22275,-29.23811054381823,True,2026-07-02,14.58690393918452,1.4438562543192812,1.183431952662722,1.7751479289940828,True,2026-07-02,17099305200.0,,,,沿用上一版：当前数据待补齐,17099305200.0,4.192872117400419,True,2026-06-10,,瓷砖地板,,,,,,,,,,,
