代码,名称,所属行业,现价,半年线,半年线乖离率,股息率,市盈率,市盈率10年分位,市净率,市净率10年分位,总市值,估值数据日期,股息数据日期,价格数据日期
002394,联发股份,棉纺,8.16,12.577333333333332,-35.12138238100285,6.127450980392156,10.916416065911434,56.73587638821825,0.6302780638516992,22.549492998551422,2641392000.0,2026-07-17,2026-05-25,2026-07-17
002404,嘉欣丝绸,非运动服装,5.68,6.582750000000001,-13.713873381185692,5.28169014084507,17.148096885813146,22.416302765647742,1.670588235294118,10.625909752547306,3181092752.899653,2026-07-17,2026-04-30,2026-07-17
002406,远东传动,底盘与发动机系统,6.32,7.715166666666666,-18.08342874424833,4.746835443037974,26.703423423423445,56.61764705882353,1.1197597597597595,28.284313725490197,4615022518.126127,2026-07-17,2026-07-10,2026-07-17
002416,爱施德,专业连锁Ⅲ,9.1,11.761916666666668,-22.631657255407646,5.4945054945054945,29.976470588235287,82.40252897787144,2.1007769145393995,61.14618746964546,11277464434.539394,2026-07-17,2026-05-28,2026-07-17
002441,众业达,配电设备,7.65,9.697333333333331,-21.112333287501695,6.535947712418301,22.536226415094333,74.00194741966894,0.9526415094339624,10.613437195715676,4165758609.2830167,2026-07-17,2026-06-25,2026-07-17
002454,松芝股份,汽车电子电气系统,4.64,6.155083333333333,-24.615155494780737,7.543103448275862,18.07867219917013,31.265147842947165,1.030041493775933,38.82695104217159,4078901875.585063,2026-07-17,2026-05-22,2026-07-17
002469,三维化学,化学工程,5.61,7.784416666666667,-27.932942952265737,5.3475935828877,27.16829015544041,59.87445678416224,1.4436787564766842,12.361178174794784,3640119354.590673,2026-07-17,2026-05-22,2026-07-17
002478,常宝股份,特钢Ⅲ,5.67,9.213333333333335,-38.45875542691752,3.5273368606701947,11.658028846153842,58.53154084798346,0.863221153846154,11.878319652341863,5107559973.014422,2026-07-17,2026-06-26,2026-07-17
002508,老板电器,厨房电器,15.74,18.635749999999998,-15.538682371248802,6.353240152477764,12.170862876254184,11.508704061895552,1.316053511705685,1.402321083172147,14873338537.629436,2026-07-17,2026-06-03,2026-07-17
002521,齐峰新材,特种纸,6.44,7.783333333333333,-17.259100642398284,4.192546583850932,20.37731343283582,24.658227848101266,0.9262415196743554,54.30656934306569,3606793162.436906,2026-07-17,2026-06-01,2026-07-17
002532,天山铝业,铝,11.99,15.896916666666668,-24.576568831482003,4.587155963302752,9.28615526802218,9.820996613449443,1.8395009242144176,48.47605224963715,55498561605.517525,2026-07-17,2026-05-15,2026-07-17
002533,金杯电工,线缆部件及其他,10.48,12.888916666666665,-18.68983040984824,4.293893129770993,12.92041314553991,17.876278616658546,1.8401502347417849,80.22406234778373,7691702329.464792,2026-07-17,2026-05-21,2026-07-17
002540,亚太科技,铝,4.72,6.238499999999999,-24.34078704816862,3.8135593220338984,15.900500000000006,43.31240946402704,1.071833333333334,0.8208594881699662,5905399973.033333,2026-07-17,2026-07-06,2026-07-17
002543,万和电气,卫浴电器,6.63,8.250083333333333,-19.63717538206684,3.9215686274509802,42.50566666666666,98.35828102366007,1.062904761904762,1.2071463061323033,4930068000.000001,2026-07-17,2026-06-12,2026-07-17
002555,三七互娱,游戏Ⅲ,18.12,21.783749999999998,-16.818729557583044,5.684326710816776,12.432700729927008,8.950169327527819,3.0514911366006263,19.013062409288825,40085746780.11678,2026-07-17,2026-06-02,2026-07-17
002556,辉隆股份,农业综合Ⅲ,4.71,5.817083333333334,-19.031587995129296,3.1847133757961785,26.958552631578947,35.205811138014525,1.249802631578947,5.181598062953995,4458100157.006579,2026-07-17,2026-06-11,2026-07-17
002572,索菲亚,定制家居,8.04,11.500916666666665,-30.092528856395507,9.950248756218908,9.104272608125822,1.0622887493964268,1.169646133682831,1.545147271849348,7742899198.222803,2026-07-17,2026-05-21,2026-07-17
